"identifier","geocode","areacode","sender","sendtime","msgtype","eventtype","severity","effective","expires","headline","description","note"
"34020041600000_20230813130142","340200","101220301",芜湖市气象局,2023-08-13 13:01:42.000 +0800,Alert,"11B03",Yellow,2023-08-13 12:59:00.000 +0800,2023-08-14 12:59:00.000 +0800,芜湖市气象局发布暴雨黄色预警[III级/较重],芜湖市气象台2023年08月13日12时59分发布暴雨黄色预警信号。目前我市主城区和二坝镇小时雨强较强，预计6小时内我市沈巷、二坝、三山、南瑞、方村、张家山等大部分街道、乡镇降雨量将达50毫米以上，并伴有雷雨大风。请注意防范！,""
"34020041600000_20230729095209","340200","101220301",芜湖市气象局,2023-07-29 09:52:09.000 +0800,Update,"11B01",Blue,2023-07-29 09:50:00.000 +0800,2023-07-30 09:50:00.000 +0800,芜湖市气象局更新台风蓝色预警[IV级/一般],芜湖市气象台2023年07月29日09时50分继续发布台风蓝色预警信号。芜湖市区24小时内受第5号台风“杜苏芮”影响，仍有明显的风雨影响，平均风力4-5级，阵风8级以上。请注意防范！,""
"34020041600000_20230728100706","340200","101220301",芜湖市气象局,2023-07-28 10:07:06.000 +0800,Alert,"11B01",Blue,2023-07-28 10:03:00.000 +0800,2023-07-29 10:03:00.000 +0800,芜湖市气象局发布台风蓝色预警[IV级/一般],芜湖市气象台2023年07月28日10时03分发布台风蓝色预警信号。芜湖市区24小时内受第5号台风“杜苏芮”影响，有明显的风雨影响，平均风力4-5级，阵风8级以上。请注意防范！,""
"34020041600000_20230721164044","340200","101220301",芜湖市气象局,2023-07-21 16:40:44.000 +0800,Alert,"11B03",Yellow,2023-07-21 16:37:00.000 +0800,2023-07-22 16:37:00.000 +0800,芜湖市气象局发布暴雨黄色预警[III级/较重],芜湖市气象台2023年07月21日16时37分发布暴雨黄色预警信号。6小时内我市白茆、二坝、沈巷、三山、南瑞、方村、张家山等大部分街道、乡镇降雨量将达50毫米以上。请注意防范！,""
"34020041600000_20230719204321","340200","101220301",芜湖市气象局,2023-07-19 20:43:21.000 +0800,Update,"11B03",Orange,2023-07-19 20:41:00.000 +0800,2023-07-20 20:41:00.000 +0800,芜湖市气象局更新暴雨橙色预警[II级/严重],芜湖市气象台2023年07月19日20时41分变更发布暴雨橙色预警信号。预计3小时内我市沈巷、白茆、高安、保定、汤沟、二坝、龙湖、三山、官陡、南瑞、张家山等大部分街道、乡镇降雨量将达50毫米，局地可达100毫米以上。请注意防范！,""
"34020041600000_20230719171458","340200","101220301",芜湖市气象局,2023-07-19 17:14:58.000 +0800,Alert,"11B03",Yellow,2023-07-19 17:12:00.000 +0800,2023-07-20 17:12:00.000 +0800,芜湖市气象局发布暴雨黄色预警[III级/较重],芜湖市气象台2023年07月19日17时12分发布暴雨黄色预警信号。6小时内我市三山、龙湖、南瑞、二坝、官陡、清水、张家山、方村等大部分街道、乡镇降雨量将达50毫米以上。请注意防范！,""
"34020041600000_20230708082308","340200","101220301",芜湖市气象局,2023-07-08 08:23:08.000 +0800,Update,"11B03",Orange,2023-07-08 08:18:00.000 +0800,2023-07-09 08:18:00.000 +0800,芜湖市气象局更新暴雨橙色预警[II级/严重],芜湖市气象台2023年07月08日08时18分变更发布暴雨橙色预警信号。3小时内我市二坝、湾里、南瑞、张家山、官陡、万春等部分街道、乡镇降雨量已达50毫米以上并将持续，并可能伴有7级以上阵风。请注意防范！,""
"34020041600000_20230708065051","340200","101220301",芜湖市气象局,2023-07-08 06:50:51.000 +0800,Alert,"11B03",Yellow,2023-07-08 06:48:00.000 +0800,2023-07-09 06:48:00.000 +0800,芜湖市气象局发布暴雨黄色预警[III级/较重],芜湖市气象台2023年07月08日06时48分发布暴雨黄色预警信号。6小时内我市二坝、湾里、南瑞、张家山、官陡、万春等部分街道、乡镇降雨量将达50毫米以上，并可能伴有7级以上阵风。请注意防范！,""
"34020041600000_20230630102232","340200","101220301",芜湖市气象局,2023-06-30 10:22:32.000 +0800,Update,"11B03",Blue,2023-06-30 10:19:00.000 +0800,2023-07-01 10:19:00.000 +0800,芜湖市气象局更新暴雨蓝色预警[IV级/一般],芜湖市气象台2023年06月30日10时19分变更发布暴雨蓝色预警信号。12小时内我市白茆、二坝、三山、南瑞、方村、张家山、官陡等大部分街道、乡镇降雨量将达50毫米以上。请注意防范！,""
"34020041600000_20230630044127","340200","101220301",芜湖市气象局,2023-06-30 04:41:27.000 +0800,Alert,"11B03",Yellow,2023-06-30 04:39:00.000 +0800,2023-07-01 04:39:00.000 +0800,芜湖市气象局发布暴雨黄色预警[III级/较重],芜湖市气象台2023年06月30日04时39分发布暴雨黄色预警信号。预计6小时内我市白茆、二坝、三山、南瑞、峨桥、方村、张家山、官陡等大部分街道、乡镇降雨量将达50毫米以上。请注意防范！,""
"34020041600000_20230619164858","340200","101220301",芜湖市气象局,2023-06-19 16:48:58.000 +0800,Alert,"11B03",Blue,2023-06-19 16:46:00.000 +0800,2023-06-20 16:46:00.000 +0800,芜湖市气象局发布暴雨蓝色预警[IV级/一般],芜湖市气象台2023年06月19日16时46分发布暴雨蓝色预警信号。预计市区白茆镇、汤沟镇、清水街道、方村街道、官陡街道等大部分街道和乡镇12小时内降雨量将达50毫米以上。请注意防范！,""
"34020041600000_20230618180741","340200","101220301",芜湖市气象局,2023-06-18 18:07:41.000 +0800,Update,"11B03",Blue,2023-06-18 18:06:00.000 +0800,2023-06-19 18:06:00.000 +0800,芜湖市气象局更新暴雨蓝色预警[IV级/一般],芜湖市气象台2023年06月18日18时06分继续发布暴雨蓝色预警信号。预计市区天门山街道、官陡街道、沈巷镇、二坝镇、中南街道等大部分街道和乡镇12小时内降雨量将达50毫米以上。请注意防范！,""
"34020041600000_20230618062213","340200","101220301",芜湖市气象局,2023-06-18 06:22:13.000 +0800,Update,"11B03",Blue,2023-06-18 06:20:00.000 +0800,2023-06-19 06:20:00.000 +0800,芜湖市气象局更新暴雨蓝色预警[IV级/一般],芜湖市气象台2023年06月18日06时20分继续发布暴雨蓝色预警信号。预计市区天门山街道、官陡街道、沈巷镇、二坝镇、中南街道等大部分街道和乡镇12小时内降雨量将达50毫米以上。请注意防范！,""
"34020041600000_20230617192625","340200","101220301",芜湖市气象局,2023-06-17 19:26:25.000 +0800,Alert,"11B03",Blue,2023-06-17 19:20:00.000 +0800,2023-06-18 19:20:00.000 +0800,芜湖市气象局发布暴雨蓝色预警[IV级/一般],芜湖市气象台2023年06月17日19时20分发布暴雨蓝色预警信号。预计市区天门山街道、官陡街道、沈巷镇、二坝镇、中南街道、峨桥镇等大部分街道和乡镇12小时内降雨量将达50毫米以上。请注意防范！,""
"34020041600000_20230610223036","340200","101220301",芜湖市气象局,2023-06-10 22:30:36.000 +0800,Alert,"11B03",Yellow,2023-06-10 22:28:00.000 +0800,2023-06-11 22:28:00.000 +0800,芜湖市气象局发布暴雨黄色预警[III级/较重],芜湖市气象台2023年06月10日22时28分发布暴雨黄色预警信号。6小时内芜湖市三山街道、白茆镇、二坝镇等大部分乡镇、街道降雨量将达50毫米以上。请注意防范！,""
"34020041600000_20230526212529","340200","101220301",芜湖市气象局,2023-05-26 21:25:29.000 +0800,Update,"11B03",Yellow,2023-05-26 21:20:00.000 +0800,2023-05-27 21:20:00.000 +0800,芜湖市气象局更新暴雨黄色预警[III级/较重],芜湖市气象台2023年05月26日21时20分继续发布暴雨黄色预警信号。预计市区的三山、峨桥、澛港、荆山、清水等街道和乡镇6小时内降雨量可能达50毫米以上。请注意防范！,""
"34020041600000_20230526154419","340200","101220301",芜湖市气象局,2023-05-26 15:44:19.000 +0800,Alert,"11B03",Yellow,2023-05-26 15:41:00.000 +0800,2023-05-27 15:41:00.000 +0800,芜湖市气象局发布暴雨黄色预警[III级/较重],芜湖市气象台2023年05月26日15时41分发布暴雨黄色预警信号。预计市区南部的峨桥、白马、火龙、方村等街道和乡镇6小时内降雨量将达50毫米以上。请注意防范！,""
"34020041600000_20230517095800","340200","101220301",芜湖市气象局,2023-05-17 09:58:00.000 +0800,Alert,"11B03",Yellow,2023-05-17 09:54:00.000 +0800,2023-05-18 09:54:00.000 +0800,芜湖市气象局发布暴雨黄色预警[III级/较重],芜湖市气象台2023年05月17日09时54分发布暴雨黄色预警信号。6小时内我市四褐山街道、白马街道、峨桥镇、汤沟镇、白茆镇等大部分街道（乡镇）降雨量将达50毫米以上。请注意防范！,""
